Unnamed: 0,question,Intent
1688,Aku lega sekali karena aku bisa membangun reputasi sebagai seorang yang berdedikasi di tempat kerja.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1689,Aku rasa syukur atas perhatian ibu bokap yang selalu memastikan aku bahagia.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1690,Aku tidak percaya aku bisa mengikuti ajang kompetisi olahraga nasional dengan rekor waktu yang luar biasa.,Menyatakan Perasaan Benci dan Jijik; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Reaksi Terkejut dan Tidak Terduga
1691,"Aku nggak percaya dosen kuliah itu suka ngomong asal-asalan gitu sih, tapi aku harus siap menghadapi soal yang sulit di ujian nanti.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1692,"Aku tidak bisa menerima bahwa aku harus belajar semua materi di sekolah dalam waktu singkat seperti ini, aku harus antisipasi dengan belajar keras banget.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1693,"Aku merasa jijik dengan perilaku teman yang selalu membohongi teman-temannya, aku harus waspada dan siap menghadapi situasi seperti ini.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1694,"Aku nggak tahu cara mengatasi rasa sakit ini, tapi aku harus siap menghadapi rasa tidak percaya diri setelah terjatuh dari sepeda.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1695,"Aku merasa benci terhadap orang yang selalu memecahkan barang milikku, aku harus berhati-hati dan siap menghadapi situasi yang tidak mengenakkan.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1696,"Aku tidak percaya aku bisa menyelesaikan tugas ini dengan baik, aku harus antisipasi dengan memanfaatkan waktu sebaik mungkin.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1697,"Aku merasa enggan menghadapi ujian ini, tapi aku harus siap menghadapi rasa tidak percaya diri jika gagal.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1698,"Aku nggak tahu apa yang harus aku lakukan di sini, tapi aku harus siap menghadapi situasi yang tidak terduga.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1699,"Aku tidak bisa menerima perubahan rencana kuliahku, aku harus antisipasi dengan mencari informasi lebih lanjut.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1700,"Aku merasa jijik dengan perilaku guru yang selalu memaksakan pendapatnya di kelas, aku harus waspada dan siap menghadapi situasi seperti ini.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1701,"Aku nggak bisa menerima bahwa aku harus membeli barang baru, aku harus siap menghadapi rasa benci terhadap harga yang mahal.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1702,"Aku tidak percaya aku bisa menyelesaikan proyek ini dengan baik, aku harus antisipasi dengan meminta bantuan teman-teman.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1703,"Aku merasa muak dengan perilaku orang tua yang selalu meminta bantuan tanpa memberikan yang berarti, aku harus waspada dan siap menghadapi situasi seperti ini.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1704,"Aku nggak bisa menerima perubahan rencana kuliahku, aku harus siap menghadapi rasa tidak percaya diri jika gagal.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1705,"Aku merasa enggan menghadapi situasi yang tidak terduga, aku harus siap menghadapi rasa benci terhadap situasi yang tidak mengenakkan.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1706,"Aku nggak tahu apa yang harus aku lakukan di sini, tapi aku harus siap menghadapi rasa tidak percaya diri setelah terjatuh dari sepeda.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1707,"Aku tidak bisa menerima perubahan rencana kuliahku, aku harus siap menghadapi rasa benci terhadap situasi yang tidak mengenakkan.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1708,"Aku nggak bisa menerima bahwa aku harus membeli barang baru, aku harusantisipasi dengan mencari informasi lebih lanjut.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1709,"Aku nggak percaya dosen kuliah itu suka ngomong asal-asalan gitu sih, aku harusantisipasi dengan belajar keras banget.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1710,"Aku merasa benci terhadap orang yang selalu mengganggu privasiku, aku harus berhati-hati dan siap menghadapi situasi yang tidak terduga.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1711,"Aku tidak percaya aku bisa menyelesaikan ujian ini dengan baik, aku harusantisipasi dengan memanfaatkan waktu sebaik mungkin.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1712,"Aku nggak tahu apa yang harus aku lakukan di sini, aku harusantisipasi dengan mencari informasi lebih lanjut.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1713,"Aku nggak bisa menerima bahwa aku harus membeli barang baru, aku harusantisipasi dengan meminta bantuan teman-teman.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1714,"Aku merasa muak dengan perilaku orang tua yang selalu meminta bantuan tanpa memberikan yang berarti, aku harusantisipasi dengan mencari informasi lebih lanjut.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1715,"Aku merasa benci terhadap orang yang selalu mengganggu privasiku, aku harusantisipasi dengan mencari informasi lebih lanjut.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1716,"Aku merasa enggan menghadapi situasi yang tidak terduga, aku harusantesipasi dengan mencari informasi lebih lanjut.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1717,"Aku nggak tahu apa yang harus aku lakukan di sini, aku harusantesipasi dengan meminta bantuan teman-teman.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1718,"Aku merasa jijik dengan perilaku guru yang selalu memaksakan pendapatnya di kelas, aku harusantesipasi dengan memanfaatkan waktu sebaik mungkin.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1719,"Aku tidak percaya aku bisa menyelesaikan proyek ini dengan baik, aku harusantesipasi dengan mencari informasi lebih lanjut.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1720,"Aku merasa muak dengan perilaku orang tua yang selalu meminta bantuan tanpa memberikan yang berarti, aku harusantesipasi dengan meminta bantuan teman-teman.",Menyatakan Perasaan Benci dan Jijik; Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1721,"Aku sangat berterima kasih karena Kakak bisa membantu aku mencapai tujuan ini. Aku telah mengantisipasi beberapa kemungkinan yang mungkin akan terjadi dan sudah mempersiapkan diri sebaik mungkin. Sekarang, aku siap untuk melaksanakan rencana dan berharap Kakak bisa memberikan saran dan dukungan yang tepat.",Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1722,"Aku sangat rasa syukur bisa bertemu dengan Kakak yang memiliki pengalaman dan pengetahuan yang luas. Aku ingin mencoba untuk mengembangkan diri dan menjadi lebih baik, tapi aku sedikit khawatir tidak akan bisa melakukannya sendiri. Kakak bisa membantu aku untuk mencari jalan keluar yang tepat.",Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1723,"Kakak sangat berpengaruh dalam membantu aku untuk meningkatkan rasa percaya diri. Aku telah mengantisipasi beberapa tantangan yang akan aku hadapi dan sudah mempersiapkan diri sebaik mungkin. Sekarang, aku siap untuk menghadapi tantangan ini dan berharap Kakak bisa memberikan dukungan yang tepat.",Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1724,"Aku sangat merasa syukur karena Kakak bisa membantu aku untuk menemukan kebenaran tentang diri sendiri. Aku telah melakukan beberapa persiapan mental sebelum ini, tapi aku masih merasa belum siap. Kakak bisa membantu aku untuk meningkatkan kepercayaan diri.",Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1725,"Aku ingin berterima kasih karena Kakak bisa membantu aku untuk menemukan cara yang tepat untuk mengatasi masalah. Aku telah mengantisipasi beberapa kemungkinan yang mungkin akan terjadi dan sudah mempersiapkan diri sebaik mungkin. Sekarang, aku siap untuk melaksanakan rencana dan berharap Kakak bisa memberikan saran yang tepat.",Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1726,"Aku sangat merasa lega karena Kakak bisa membantu aku untuk menemukan kebahagiaan dalam hidup. Aku telah melakukan beberapa persiapan mental sebelum ini, tapi aku masih merasa belum siap. Kakak bisa membantu aku untuk meningkatkan rasa syukur dan berterima kasih.",Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1727,"Aku ingin mencoba untuk mengembangkan diri dan menjadi lebih baik dengan bantuan Kakak. Aku telah mengantisipasi beberapa tantangan yang akan aku hadapi dan sudah mempersiapkan diri sebaik mungkin. Sekarang, aku siap untuk menghadapi tantangan ini dan berharap Kakak bisa memberikan dukungan yang tepat.",Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1728,"Aku sangat percaya diri karena Kakak bisa membantu aku untuk menemukan jalan keluar dari masalah. Aku telah mengantisipasi beberapa kemungkinan yang mungkin akan terjadi dan sudah mempersiapkan diri sebaik mungkin. Sekarang, aku siap untuk melaksanakan rencana dan berharap Kakak bisa memberikan saran yang tepat.",Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1729,Aku sangat percaya diri karena Kakak bisa membantu aku untuk menemukan cara yang tepat untuk mengatasi masalah. Aku telah mengantisipasi beberapa kemungkinan yang mungkin akan terjadi dan sudah mempersiapkan diri sebaik mungkin,Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi; Menyatakan Perasaan Sebelum Menghadapi Kejadian
1730,"Aku bingung nggak tahu harus mulai dari mana sih, konselor, aku ingin kamu bantu aku ya?",Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1731,Kamu tidak paham aku sedang mengalami kesulitan apa sih?,Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1732,"Aku sudah capek banget dengan hidup ini, aku rasa aku perlu bantuan kamu",Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1733,Apa aku salah sih?,Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1734,"Konselor, aku rasa aku sedang terancam, aku rasa aku butuh bantuan kamu sekarang juga",Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1735,Apa itu masalahnya sih?,Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1736,"Aku tidak tahu apa yang aku harus lakukan, aku rasa aku perlu kamu bantu aku",Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1737,Apa kamu tidak bisa membantu aku?,Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1738,"Aku rasa aku sedang kehilangan kendali, aku rasa aku perlu kamu saran",Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1739,Kamu tidak bisa memahami aku sih?,Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1740,"Aku sudah frustasi banget dengan hidup ini, aku rasa aku butuh bantuan kamu",Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1741,Apa aku benar-benar kesal sih?,Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1742,Kamu bisa membantu aku sih?,Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1743,Apa aku bisa diatur sih?,Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1744,Aku sudah capek banget dengan hidup ini,Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1745,Apa aku bisa diubah sih?,Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1746,Apa aku benar-benar tidak sabar sih?,Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1747,Apa aku bisa diterima sih?,Menyatakan Perasaan Percaya; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1748,"Aku sih bingung banget dengan ujian besok, aku takut tidak lulus, dan aku sedih karena teman-teman aku semua sudah siap.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1749,"Aku lagi pusing nggak tahu harus memilih kuliah mana, aku khawatir tidak bisa menemukan pekerjaan, dan aku jengkel dengan orang tua yang selalu memaksa aku.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1750,"Aku gugup dengan tugas sekolah, aku rasa tidak berharga karena performa aku yang selalu mengecewakan, dan aku kesepian karena tidak punya teman yang mau ngobrol.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1751,"Aku cemas dengan masa depan, aku takut tidak bisa menyelesaikan kuliah, dan aku sedih karena terpaksa meninggalkan keluarga.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1752,"Aku tidak sabar menunggu liburan, aku khawatir tidak bisa menemukan tiket pesawat, dan aku sedih karena liburan ini akan menjadi kenangan terakhir bersama dengan teman-teman.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1753,"Aku rasa tidak siap untuk menghadapi dunia nyata, aku gugup dengan tugas-tugas yang menumpuk, dan aku jengkel dengan kehidupan ini yang selalu menantang aku.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1754,"Aku sedih karena tidak bisa menemukan kebahagiaan, aku takut tidak bisa menemukan cinta, dan aku cemas dengan masa depan yang gelap.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1755,"Aku nggak bisa fokus dengan kuliah, aku rasa tidak berharga karena performa aku yang selalu buruk, dan aku kesepian karena tidak punya teman yang mau ngobrol.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1756,"Aku merasa terancam oleh kehidupan, aku khawatir tidak bisa menyelesaikan kuliah, dan aku sedih karena tidak bisa menemukan kebahagiaan.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1757,"Aku tidak sabar dengan ujian yang menantang, aku gugup dengan tugas-tugas yang menumpuk, dan aku jengkel dengan orang tua yang selalu memaksa aku.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1758,"Aku cemas dengan masa depan, aku takut tidak bisa menemukan pekerjaan, dan aku sedih karena tidak bisa menemukan cinta.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1759,"Aku rasa tidak siap untuk menghadapi kehidupan, aku gugup dengan kehidupan yang selalu menantang, dan aku sedih karena tidak bisa menemukan kebahagiaan.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1760,"Aku nggak bisa menghadapi tekanan kuliah, aku rasa tidak berharga karena performa aku yang selalu mengecewakan, dan aku kesepian karena tidak punya teman yang mau ngobrol.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1761,"Aku sedih karena tidak bisa menemukan arah hidup, aku takut tidak bisa menyelesaikan kuliah, dan aku cemas dengan masa depan yang gelap.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1762,"Aku rasa terancam oleh masa depan yang tidak pasti, aku khawatir tidak bisa menemukan pekerjaan, dan aku sedih karena tidak bisa menemukan cinta.",Menyatakan Perasaan Sedih dan Kehilangan; Menyatakan Perasaan Takut dan Kecemasan; Menyatakan Perasaan Marah dan Frustasi
1763,Aku benar-benar kaget ketika aku mendengar aku harus membayar biaya kuliah lebih besar daripada yang diharapkan sih.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1764,Aku nggak tahan dengan perubahan kurikulum kuliah yang terlalu berat begitu banget.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1765,Aku sangat cemas karena aku tidak bisa mengerti soal matematika yang diberikan gurulah!,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1766,Aku terancam tidak bisa lulus kuliah karena kondisi keuangan keluarga aku yang tidak stabil tuh.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1767,Aku sangat khawatir tentang masa depan aku karena aku tidak tahu caranya bisa sukses sih.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1768,Aku benar-benar gugup karena aku harus menghadapi ujian yang sebenarnya tidak pernah diajarkan dahulu.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1769,Aku tidak percaya bahwa aku harus mengulangi tahun kuliah karena aku tidak bisa lulus dahulu.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1770,Aku bingung karena aku tidak bisa memilih jurusan kuliah yang tepat untuk aku sendiri.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1771,Aku sangat panik ketika aku mendengar bahwa aku harus memilih mata kuliah tambahan yang tidak aku sukai lagi.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1772,Aku tidak tahu bagaimana cara menghadapi tekanan dari orang tua aku untuk lulus kuliah dengan cepat.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1773,Aku benar-benar kaget karena aku tidak pernah berpikir bahwa aku harus menghadapi kehidupan tidak memiliki uang di masa depan.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1774,Aku sangat cemas tentang keamanan dan keselamatan aku ketika aku harus pergi ke tempat yang tidak aku kenal.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1775,Aku nggak tahan dengan perubahan cuaca yang tidak terduga dan mempengaruhi kesuksesanku.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1776,Aku sangat khawatir tentang kehilangan keraguan diri karena aku tidak yakin tentang diriku sendiri sih.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1777,Aku terancam tidak bisa menemukan pekerjaan yang tepat untuk aku karena aku tidak memiliki pengalaman yang cukup.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1778,Aku sangat gugup karena aku harus menghadapi tekanan dari teman-temanku untuk sukses lebih cepat.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1779,Aku tidak percaya bahwa aku harus menghadapi masalah keuangan yang tidak aku harapkan dahulu.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1780,Aku bingung karena aku tidak bisa memilih antara kuliah dan bekerja untuk memenuhi kebutuhan hidup sehari-hari.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1781,Aku sangat khawatir tentang kehilangan motivasi untuk maju karena aku merasa tidak puas dengan diri sendiri.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1782,Aku nggak tahan dengan perubahan pola hidup aku yang tidak terencana sebelumnya banget.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1783,Aku sangat cemas tentang keamanan dan keselamatan aku ketika aku harus pergi ke tempat yang tidak aku kenal di luar negeri.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1784,Aku sangat gugup karena aku harus menghadapi tekanan dari orang tua aku untuk lulus kuliah dengan cepat dan tidak ada kesempatan untuk melewatkan tahun kuliah.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1785,Aku tidak percaya bahwa aku harus menghadapi masalah keuangan yang tidak aku harapkan karena aku tidak memiliki pengalaman yang cukup dalam mengelola keuangan.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1786,Aku bingung karena aku tidak bisa memilih antara kuliah di kampung halaman dan kuliah di luar negeri yang tidak aku kenal.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1787,Aku sangat khawatir tentang kehilangan motivasi untuk maju karena aku merasa tidak puas dengan diri sendiri dan tidak memiliki visi yang jelas tentang masa depan.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1788,Aku nggak tahan dengan perubahan pola hidup aku yang tidak terencana sebelumnya dan tidak memiliki rencana yang jelas untuk menghadapi masa depan.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1789,Aku sangat cemas tentang keamanan dan keselamatan aku ketika aku harus pergi ke tempat yang tidak aku kenal dan tidak memiliki rencana untuk menghadapi keadaan darurat.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1790,Aku benar-benar kaget karena aku tidak pernah berpikir bahwa aku harus menghadapi kehidupan yang tidak memiliki uang dan tidak memiliki pengalaman yang cukup untuk menghadapi dunia nyata.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1791,Aku sangat gugup karena aku harus menghadapi tekanan dari teman-temanku untuk sukses lebih cepat dan tidak memiliki waktu yang cukup untuk melakukannya.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1792,Aku tidak percaya bahwa aku harus menghadapi masalah keuangan yang tidak aku harapkan karena aku tidak memiliki rencana yang jelas untuk menghadapi keadaan darurat.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1793,Aku bingung karena aku tidak bisa memilih antara kuliah di universitas yang tidak aku kenal dan kuliah di universitas yang sudah aku kenal sebelumnya.,Menyatakan Reaksi Terkejut dan Tidak Terduga; Menyatakan Perasaan Takut dan Kecemasan
1794,Saya sudah siap membantu. Berikut adalah 30 kalimat pendek yang mencerminkan emosi/intent menyatakan rasa syukur dan apresiasi serta menyatakan perasaan percaya:,Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
1795,"Aku seneng banget bisa temui konselor, terima kasih atas waktu lu!",Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
1796,"Aku rasa lebih baik setelah ngobrol dengan konselor, mungkin aku bisa mengatasi masalah ini",Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
1797,"Aku berterima kasih atas bantuan konselor, aku rasa percaya dan mau mencoba caranya",Menyatakan Perasaan Percaya; Menyatakan Rasa Syukur dan Apresiasi
